year,name,gender,count
2008,Lola,F,1410
2008,Alina,F,1407
2008,Kelly,F,1399
2008,Fatima,F,1391
2008,Tiffany,F,1375
2008,Kira,F,1369
2008,Crystal,F,1366
2008,Mallory,F,1353
2008,Eleanor,F,1342
2008,Esmeralda,F,1340
2008,Jayda,F,1340
2008,Kara,F,1338
2008,Angelica,F,1337
2008,Abby,F,1331
2008,Alejandra,F,1329
2008,Veronica,F,1329
2008,Carmen,F,1312
2008,Jamie,F,1307
2008,Valentina,F,1291
2008,Ryleigh,F,1289
2008,Dakota,F,1286
2008,Esther,F,1280
2008,Allyson,F,1275
2008,Kamryn,F,1270
2008,Courtney,F,1264
2008,Cecilia,F,1258
2008,Madeleine,F,1252
2008,Aniya,F,1248
2008,Alison,F,1247
2008,Heaven,F,1246
2008,Leilani,F,1230
2008,Nina,F,1228
2008,Aubree,F,1227
2008,Lindsey,F,1227
2008,Melody,F,1219
2008,Macy,F,1214
2008,Ashlynn,F,1207
2008,Joanna,F,1194
2008,Cassandra,F,1184
2008,Alayna,F,1177
2008,Aurora,F,1174
2008,Kaydence,F,1173
2008,Madilyn,F,1168
2008,Heidi,F,1167
2008,Emerson,F,1163
2008,Kimora,F,1145
2008,Madalyn,F,1144
2008,Katelynn,F,1138
2008,Josie,F,1133
2008,Erica,F,1131
2008,Harper,F,1128
2008,Lexi,F,1126
2008,Guadalupe,F,1124
2008,Ivy,F,1122
2008,Camille,F,1107
2008,Savanna,F,1102
2008,Lucia,F,1098
2008,Daniella,F,1095
2008,Dulce,F,1095
2008,Miriam,F,1095
2008,Emely,F,1092
2008,Kiley,F,1089
2008,Joselyn,F,1086
2008,Kailey,F,1083
2008,Cynthia,F,1074
2008,Rihanna,F,1074
2008,Georgia,F,1072
2008,Harmony,F,1071
2008,Kiera,F,1069
2008,Bethany,F,1065
2008,Kyleigh,F,1064
2008,Rylie,F,1063
2008,Monica,F,1062
2008,Kaylie,F,1054
2008,Cameron,F,1051
2008,Teagan,F,1044
2008,Ciara,F,1041
2008,Genevieve,F,1041
2008,Cora,F,1040
2008,Brynn,F,1039
2008,Eliza,F,1028
2008,Tatiana,F,1028
2008,Alice,F,1025
2008,April,F,1022
2008,Maddison,F,1019
2008,Erika,F,1017
2008,Jaelyn,F,1014
2008,Ximena,F,1012
2008,Marely,F,1004
2008,Julie,F,994
2008,Danica,F,990
2008,Presley,F,989
2008,Brielle,F,983
2008,Julissa,F,977
2008,Angie,F,975
2008,Rose,F,973
2008,Iris,F,972
2008,Brenda,F,968
2008,Malia,F,968
2008,Hazel,F,967
2008,Fiona,F,964
2008,Shayla,F,964
2008,Phoebe,F,959
2008,Selena,F,957
2008,Paola,F,954
2008,Kaelyn,F,949
2008,Nayeli,F,947
2008,Rebekah,F,945
2008,Audrina,F,931
2008,Janiyah,F,929
2008,Ruth,F,926
2008,Carolina,F,925
2008,Michaela,F,922
2008,Penelope,F,919
2008,Anastasia,F,918
2008,Sasha,F,916
2008,Janiya,F,914
2008,Adeline,F,910
2008,Holly,F,907
2008,Denise,F,897
2008,Hanna,F,892
2008,Marlee,F,890
2008,Helen,F,885
2008,Nataly,F,885
2008,Tatum,F,885
2008,Madisyn,F,884
2008,Anya,F,883
2008,Janelle,F,883
2008,Serena,F,882
2008,Lizbeth,F,881
2008,Jaslene,F,872
2008,Kaylin,F,869
2008,Jazlyn,F,860
2008,Nancy,F,858
2008,Hayley,F,851
2008,Desiree,F,850
2008,Lindsay,F,848
2008,Itzel,F,846
2008,Imani,F,840
2008,Asia,F,839
2008,Talia,F,833
2008,Madelynn,F,831
2008,Amari,F,829
2008,Jane,F,826
2008,Kadence,F,825
2008,Madyson,F,825
2008,Kayden,F,824
2008,Annie,F,822
2008,Bridget,F,820
2008,Raegan,F,815
2008,Jadyn,F,812
2008,Annika,F,807
2008,Yasmin,F,807
2008,Celeste,F,806
2008,Luna,F,806
2008,Emilia,F,804
2008,Jimena,F,803
2008,Estrella,F,801
2008,Sarai,F,797
2008,Ayla,F,796
2008,Lacey,F,795
2008,Willow,F,792
2008,Alessandra,F,784
2008,Nyla,F,783
2008,Lilliana,F,782
2008,Harley,F,780
2008,Dayana,F,777
2008,Natasha,F,777
2008,Priscilla,F,777
2008,Brittany,F,775
2008,Lilah,F,773
2008,Baylee,F,771
2008,Claudia,F,771
2008,Hadley,F,769
2008,Allisson,F,767
2008,Fernanda,F,767
2008,Brenna,F,765
2008,Skyler,F,765
2008,Danna,F,758
2008,Melany,F,746
2008,Lia,F,741
2008,Gloria,F,740
2008,Cali,F,739
2008,Macie,F,738
2008,Lyric,F,737
2008,Logan,F,736
2008,Alissa,F,731
2008,Cindy,F,731
2008,Lana,F,731
2008,Lilian,F,730
2008,Mylee,F,730
2008,Amira,F,729
2008,Anahi,F,728
2008,Anaya,F,728
2008,Lena,F,728
2008,Noelle,F,723
2008,Sandra,F,720
2008,Ainsley,F,719
2008,Marisol,F,714
2008,Meredith,F,709
2008,Kailyn,F,706
2008,Diamond,F,705
2008,Kathleen,F,704
2008,Johanna,F,702
2008,Paisley,F,700
2008,Lesly,F,699
2008,Evangeline,F,698
2008,Juliet,F,697
2008,Rosa,F,696
2008,Meghan,F,694
2008,Athena,F,693
2008,Hailee,F,691
2008,Sage,F,690
2008,Emilee,F,689
2008,Wendy,F,688
2008,Paris,F,687
2008,Elaina,F,685
2008,Alanna,F,682
2008,Cara,F,681
2008,Nia,F,681
2008,Dana,F,680
2008,Emery,F,680
2008,Miracle,F,679
2008,Casey,F,677
2008,Jaden,F,676
2008,Kiana,F,674
2008,Rowan,F,674
2008,Aubrie,F,673
2008,Kaitlin,F,673
2008,Kenzie,F,668
2008,Norah,F,666
2008,Lauryn,F,665
2008,Viviana,F,663
2008,Perla,F,662
2008,Amiyah,F,660
2008,Rachael,F,658
2008,Shannon,F,657
2008,Alyson,F,654
2008,Lillie,F,653
2008,Heather,F,651
2008,Aileen,F,650
2008,Danika,F,648
2008,Francesca,F,646
2008,Kassidy,F,644
2008,Kristen,F,644
2008,Tori,F,644
2008,Elle,F,642
2008,Amya,F,640
2008,Taryn,F,640
2008,Cheyanne,F,639
2008,Kristina,F,636
2008,Anne,F,634
2008,Haylie,F,630
2008,Patricia,F,630
2008,Samara,F,629
2008,Skye,F,623
2008,Lexie,F,620
2008,Halle,F,619
2008,Kali,F,618
2008,Parker,F,617
2008,America,F,615
2008,Linda,F,614
2008,Londyn,F,611
2008,Hallie,F,609
2008,Abbigail,F,608
2008,Saniya,F,601
2008,Jaylynn,F,600
2008,Bryanna,F,599
2008,Caylee,F,599
2008,Quinn,F,599
2008,Bailee,F,598
2008,Jaida,F,598
2008,Mckayla,F,598
2008,Melina,F,598
2008,Jaelynn,F,591
2008,Jaiden,F,591
2008,Abril,F,585
2008,Elisabeth,F,585
2008,Sidney,F,583
2008,Mercedes,F,582
2008,Dylan,F,581
2008,Brylee,F,580
2008,Kaylynn,F,580
2008,Yesenia,F,580
2008,Elliana,F,579
2008,Kassandra,F,579
2008,Adalyn,F,578
2008,Marina,F,577
2008,Mikaela,F,577
2008,Isabela,F,575
2008,Joy,F,575
2008,Ryan,F,574
2008,Daphne,F,571
2008,Ashlee,F,570
2008,Justice,F,570
2008,Kenya,F,570
2008,Christine,F,568
2008,Kaitlynn,F,565
2008,Marie,F,565
2008,Ingrid,F,564
2008,Saniyah,F,564
2008,Jaliyah,F,563
2008,Natalee,F,563
2008,Simone,F,562
2008,Tamia,F,562
2008,Adelaide,F,558
2008,Juliette,F,557
2008,Krystal,F,556
2008,Sylvia,F,556
2008,Addisyn,F,555
2008,Dayanara,F,553
2008,Kennedi,F,553
2008,Mila,F,553
2008,Jaidyn,F,549
2008,Virginia,F,549
2008,Aylin,F,548
2008,Clarissa,F,546
2008,Jolie,F,546
2008,Kinsley,F,546
2008,Marilyn,F,545
2008,Maritza,F,545
2008,Braelyn,F,543
2008,Kirsten,F,543
2008,Laney,F,543
2008,Whitney,F,542
2008,Aria,F,541
2008,Kamila,F,538
2008,Raquel,F,537
2008,Janessa,F,536
2008,Zariah,F,536
2008,Anika,F,535
2008,Kaleigh,F,534
2008,Teresa,F,534
2008,Amara,F,533
2008,Carla,F,531
2008,Paulina,F,531
2008,Rubi,F,531
2008,Tabitha,F,531
2008,Ayanna,F,530
2008,Amani,F,529
2008,Nathalie,F,528
2008,Adelyn,F,527
2008,Annabella,F,527
2008,Madalynn,F,527
2008,Yareli,F,527
2008,Gwendolyn,F,526
2008,Ada,F,525
2008,Aiyana,F,525
2008,Deanna,F,525
2008,Jaylin,F,524
2008,Journey,F,524
2008,Skyla,F,523
2008,Yaretzi,F,518
2008,Liana,F,513
2008,Jenny,F,511
2008,Karlee,F,511
2008,Myla,F,511
2008,Lisa,F,508
2008,Myah,F,508
2008,Cristina,F,505
2008,Isis,F,504
2008,Martha,F,504
2008,Tania,F,504
2008,Helena,F,503
2008,Lucille,F,503
2008,Jordin,F,500
2008,Raven,F,499
2008,Arely,F,498
2008,Jayleen,F,498
2008,Azul,F,497
2008,Destinee,F,497
2008,Aryanna,F,496
2008,Jaqueline,F,496
2008,Liberty,F,496
2008,Haven,F,494
2008,Aleah,F,493
2008,Arielle,F,493
2008,Isla,F,493
2008,Jessie,F,493
2008,Zoie,F,493
2008,Elisa,F,492
2008,Lilyana,F,492
2008,Marlene,F,491
2008,Kailee,F,490
2008,Kaliyah,F,490
2008,Noemi,F,489
2008,Tara,F,489
2008,Carley,F,488
2008,Camilla,F,487
2008,Maeve,F,486
2008,Maia,F,486
2008,Giana,F,485
2008,Irene,F,483
2008,Jaylene,F,482
2008,Maliyah,F,481
2008,Tiana,F,481
2008,Kaya,F,479
2008,Lea,F,479
2008,Sharon,F,479
2008,Macey,F,478
2008,Marisa,F,478
2008,Jaycee,F,477
2008,Alisha,F,476
2008,Siena,F,475
2008,Scarlet,F,474
2008,Shiloh,F,474
2008,Adyson,F,473
2008,Eve,F,470
2008,Shyanne,F,470
2008,Amiya,F,467
2008,Arabella,F,467
2008,Yazmin,F,467
2008,Kiersten,F,465
2008,Sherlyn,F,465
2008,Gisselle,F,464
2008,Shania,F,464
2008,Aleena,F,463
2008,Finley,F,463
2008,Sariah,F,463
2008,Kaia,F,462
2008,Kinley,F,462
2008,Aliya,F,460
2008,Madilynn,F,460
2008,Ellen,F,457
2008,Taliyah,F,457
2008,Carlie,F,455
2008,Pamela,F,455
2008,Yoselin,F,454
2008,Clare,F,453
2008,Monserrat,F,452
2008,Jakayla,F,451
2008,Carolyn,F,448
2008,Paula,F,448
2008,Reyna,F,448
2008,Yaritza,F,447
2008,Lorelei,F,446
2008,Alena,F,445
2008,Regina,F,444
2008,Angelique,F,443
2008,Emilie,F,443
2008,Gracelyn,F,443
2008,Zaria,F,443
2008,Britney,F,441
2008,Mariam,F,441
