year,name,gender,count
2004,Emily,F,25039
2004,Emma,F,21611
2004,Madison,F,20626
2004,Olivia,F,16106
2004,Hannah,F,15608
2004,Abigail,F,15427
2004,Isabella,F,15019
2004,Ashley,F,14373
2004,Samantha,F,13783
2004,Elizabeth,F,13562
2004,Alexis,F,13477
2004,Sarah,F,12742
2004,Grace,F,12536
2004,Alyssa,F,12107
2004,Sophia,F,10917
2004,Lauren,F,9982
2004,Brianna,F,9802
2004,Kayla,F,9771
2004,Natalie,F,9687
2004,Anna,F,9517
2004,Jessica,F,9470
2004,Taylor,F,9303
2004,Chloe,F,8728
2004,Hailey,F,8685
2004,Ava,F,8644
2004,Jasmine,F,8490
2004,Sydney,F,8367
2004,Victoria,F,8278
2004,Ella,F,8243
2004,Mia,F,7398
2004,Morgan,F,7296
2004,Julia,F,7147
2004,Kaitlyn,F,6988
2004,Rachel,F,6918
2004,Katherine,F,6739
2004,Megan,F,6687
2004,Alexandra,F,6623
2004,Destiny,F,6546
2004,Jennifer,F,6543
2004,Allison,F,5872
2004,Savannah,F,5813
2004,Maria,F,5755
2004,Nicole,F,5740
2004,Haley,F,5728
2004,Mackenzie,F,5728
2004,Brooke,F,5712
2004,Makayla,F,5665
2004,Trinity,F,5636
2004,Kylie,F,5557
2004,Kaylee,F,5442
2004,Paige,F,5438
2004,Faith,F,5419
2004,Lily,F,5401
2004,Zoe,F,5363
2004,Stephanie,F,5181
2004,Jenna,F,5175
2004,Andrea,F,5055
2004,Riley,F,4982
2004,Katelyn,F,4952
2004,Angelina,F,4916
2004,Kimberly,F,4846
2004,Mary,F,4815
2004,Madeline,F,4765
2004,Leah,F,4743
2004,Lillian,F,4734
2004,Michelle,F,4718
2004,Amanda,F,4682
2004,Sara,F,4506
2004,Sofia,F,4474
2004,Rebecca,F,4465
2004,Jordan,F,4447
2004,Alexa,F,4440
2004,Gabrielle,F,4419
2004,Caroline,F,4378
2004,Vanessa,F,4348
2004,Gabriella,F,4254
2004,Avery,F,4043
2004,Marissa,F,4009
2004,Ariana,F,3996
2004,Audrey,F,3902
2004,Jada,F,3891
2004,Autumn,F,3866
2004,Maya,F,3766
2004,Evelyn,F,3763
2004,Jocelyn,F,3743
2004,Arianna,F,3686
2004,Amber,F,3638
2004,Isabel,F,3637
2004,Melanie,F,3580
2004,Diana,F,3554
2004,Danielle,F,3529
2004,Sierra,F,3520
2004,Leslie,F,3500
2004,Aaliyah,F,3491
2004,Erin,F,3366
2004,Amelia,F,3352
2004,Molly,F,3344
2004,Melissa,F,3335
2004,Claire,F,3333
2004,Bailey,F,3308
2004,Brooklyn,F,3266
2004,Katie,F,3210
2004,Nevaeh,F,3181
2004,Catherine,F,3180
2004,Angela,F,3158
2004,Amy,F,3115
2004,Isabelle,F,3099
2004,Jacqueline,F,3066
2004,Jade,F,3052
2004,Gabriela,F,3022
2004,Madelyn,F,3006
2004,Shelby,F,2988
2004,Mariah,F,2981
2004,Gracie,F,2940
2004,Breanna,F,2896
2004,Mya,F,2895
2004,Kennedy,F,2886
2004,Daniela,F,2840
2004,Adriana,F,2830
2004,Briana,F,2825
2004,Courtney,F,2763
2004,Kathryn,F,2756
2004,Christina,F,2735
2004,Gianna,F,2726
2004,Alexandria,F,2652
2004,Lydia,F,2625
2004,Angel,F,2614
2004,Miranda,F,2612
2004,Laura,F,2553
2004,Alicia,F,2517
2004,Ashlyn,F,2455
2004,Alexia,F,2449
2004,Margaret,F,2436
2004,Peyton,F,2392
2004,Sophie,F,2388
2004,Rylee,F,2374
2004,Kendall,F,2360
2004,Kelly,F,2357
2004,Ana,F,2347
2004,Summer,F,2333
2004,Kylee,F,2296
2004,Natalia,F,2292
2004,Daisy,F,2271
2004,Naomi,F,2269
2004,Reagan,F,2269
2004,Lindsey,F,2255
2004,Kate,F,2218
2004,Kelsey,F,2198
2004,Cheyenne,F,2189
2004,Sabrina,F,2189
2004,Mckenzie,F,2184
2004,Jillian,F,2179
2004,Alondra,F,2178
2004,Skylar,F,2175
2004,Karen,F,2165
2004,Mikayla,F,2158
2004,Paris,F,2150
2004,Ruby,F,2119
2004,Payton,F,2077
2004,Addison,F,2054
2004,Caitlin,F,2050
2004,Kyla,F,2038
2004,Crystal,F,2034
2004,Juliana,F,2031
2004,Caitlyn,F,2030
2004,Abby,F,2024
2004,Layla,F,2012
2004,Cassidy,F,2007
2004,Delaney,F,2002
2004,Charlotte,F,1994
2004,Mariana,F,1991
2004,Bianca,F,1986
2004,Cassandra,F,1973
2004,Valeria,F,1957
2004,Tiffany,F,1955
2004,Angelica,F,1941
2004,Carly,F,1925
